Country,Attacks,Age,Year,Fatal,% Fatal
USA,1349.0,26.737583395107485,2016,79,5.856189770200149
AUSTRALIA,486.0,29.36008230452675,2016,107,22.016460905349795
SOUTH AFRICA,305.0,26.081967213114755,2016,61,20.0
BAHAMAS,59.0,36.69491525423729,2016,5,8.474576271186441
BRAZIL,56.0,22.785714285714285,2016,21,37.5
PAPUA NEW GUINEA,41.0,20.73170731707317,2014,18,43.90243902439025
NEW ZEALAND,40.0,26.1,2016,7,17.5
MEXICO,39.0,30.512820512820515,2015,17,43.58974358974359
REUNION,32.0,29.1875,2016,12,37.5
FIJI,28.0,30.25,2016,10,35.714285714285715
MOZAMBIQUE,27.0,22.962962962962962,2015,10,37.03703703703704
NEW CALEDONIA,19.0,32.8421052631579,2016,9,47.36842105263158
ITALY,17.0,29.529411764705884,2015,5,29.41176470588235
HONG KONG,16.0,30.5,1995,11,68.75
JAPAN,15.0,31.0,2016,8,53.333333333333336
FRENCH POLYNESIA,14.0,29.857142857142858,2016,0,0.0
SPAIN,11.0,26.181818181818183,2016,0,0.0
EGYPT,11.0,42.72727272727273,2016,4,36.36363636363637
PHILIPPINES,10.0,28.7,2011,6,60.0
CUBA,8.0,28.75,2009,3,37.5
TONGA,8.0,28.875,2012,1,12.5
PANAMA,8.0,18.5,2009,3,37.5
CROATIA,7.0,34.57142857142857,2012,5,71.42857142857143
ECUADOR,7.0,34.857142857142854,2015,0,0.0
BERMUDA,7.0,25.285714285714285,1975,1,14.285714285714286
TAIWAN,7.0,30.857142857142858,2012,3,42.857142857142854
SOUTH KOREA,6.0,32.666666666666664,2010,4,66.66666666666667
MARSHALL ISLANDS,6.0,25.333333333333332,1999,0,0.0
SOLOMON ISLANDS,6.0,24.0,2010,4,66.66666666666667
KENYA,5.0,18.6,2011,3,60.0
GREECE,5.0,25.4,1983,4,80.0
JAMAICA,5.0,42.8,2013,2,40.0
VANUATU,5.0,17.2,2005,3,60.0
VIETNAM,5.0,46.6,2010,0,0.0
UNITED KINGDOM,5.0,41.4,2009,0,0.0
THAILAND,5.0,28.4,2015,2,40.0
COLUMBIA,5.0,26.0,2016,0,0.0
GRENADA,4.0,14.25,1970,3,75.0
GUAM,4.0,35.5,2013,2,50.0
NEW BRITAIN,4.0,14.75,1966,4,100.0
IRAQ,4.0,30.75,1970,1,25.0
MAURITIUS,4.0,37.75,2014,1,25.0
SENEGAL,4.0,21.75,1998,1,25.0
VENEZUELA,4.0,37.0,2004,2,50.0
MADAGASCAR,3.0,31.666666666666668,2010,1,33.333333333333336
PALAU,3.0,21.0,1970,0,0.0
SEYCHELLES,3.0,33.333333333333336,2013,2,66.66666666666667
AMERICAN SAMOA,3.0,25.666666666666668,1958,3,100.0
SCOTLAND,3.0,34.0,2012,0,0.0
OKINAWA,3.0,46.0,2000,3,100.0
TURKS & CAICOS,3.0,34.666666666666664,2011,0,0.0
COSTA RICA,3.0,28.0,2011,3,100.0
DOMINICAN REPUBLIC,3.0,29.0,2011,1,33.333333333333336
EL SALVADOR,3.0,19.666666666666668,1993,1,33.333333333333336
INDONESIA,3.0,40.0,2016,1,33.333333333333336
ENGLAND,3.0,38.333333333333336,2008,0,0.0
CHINA,3.0,42.666666666666664,2016,0,0.0
PACIFIC OCEAN ,2.0,38.5,1972,0,0.0
NORTH PACIFIC OCEAN,2.0,26.5,1963,0,0.0
RUSSIA,2.0,20.5,2011,0,0.0
PACIFIC OCEAN,2.0,35.5,1958,0,0.0
INDIA,2.0,30.0,2003,0,0.0
SINGAPORE,2.0,33.5,1966,1,50.0
MALTA,2.0,37.5,2010,1,50.0
ISRAEL,2.0,23.5,2013,0,0.0
ST. MARTIN,2.0,51.5,2014,0,0.0
TANZANIA,2.0,35.0,2000,1,50.0
TURKEY,2.0,26.0,1971,1,50.0
CANADA,2.0,26.5,2012,0,0.0
UNITED ARAB EMIRATES (UAE),2.0,48.5,2011,0,0.0
PORTUGAL,2.0,21.0,1979,2,100.0
SOMALIA,1.0,21.0,1993,1,100.0
SOUTH ATLANTIC OCEAN,1.0,29.0,1962,1,100.0
SAUDI ARABIA,1.0,42.0,2012,0,0.0
SAMOA,1.0,47.0,2010,0,0.0
SRI LANKA,1.0,11.0,2004,0,0.0
TRINIDAD & TOBAGO,1.0,24.0,2012,1,100.0
URUGUAY,1.0,21.0,2004,0,0.0
ADMIRALTY ISLANDS,1.0,26.0,1962,0,0.0
PUERTO RICO,1.0,36.0,2015,0,0.0
FEDERATED STATES OF MICRONESIA,1.0,26.0,1963,0,0.0
ANDAMAN / NICOBAR ISLANDAS,1.0,32.0,1958,1,100.0
ARGENTINA,1.0,18.0,1954,0,0.0
ARUBA,1.0,58.0,2015,1,100.0
AZORES,1.0,49.0,2009,0,0.0
BELIZE,1.0,34.0,2006,1,100.0
BRITISH ISLES,1.0,32.0,1971,0,0.0
BRITISH VIRGIN ISLANDS,1.0,53.0,2007,1,100.0
BRITISH WEST INDIES,1.0,24.0,1962,0,0.0
CAPE VERDE,1.0,60.0,2016,0,0.0
CARIBBEAN SEA,1.0,27.0,1959,1,100.0
CAYMAN ISLANDS,1.0,65.0,2016,0,0.0
CHILE,1.0,19.0,1994,0,0.0
DIEGO GARCIA,1.0,33.0,2013,1,100.0
FRANCE,1.0,50.0,2013,0,0.0
PALESTINIAN TERRITORIES,1.0,30.0,2013,0,0.0
GRAND CAYMAN,1.0,57.0,2005,0,0.0
JOHNSTON ISLAND,1.0,37.0,1960,0,0.0
KIRIBATI,1.0,35.0,2013,0,0.0
MALAYSIA,1.0,41.0,1968,0,0.0
MALDIVE ISLANDS,1.0,3.0,1959,1,100.0
MICRONESIA,1.0,43.0,1970,0,0.0
MID ATLANTIC OCEAN,1.0,22.0,1961,0,0.0
NEW GUINEA,1.0,30.0,1965,1,100.0
NIGERIA,1.0,38.0,2012,0,0.0
NORTH ATLANTIC OCEAN,1.0,34.0,1980,0,0.0
NORTH ATLANTIC OCEAN ,1.0,15.0,1955,0,0.0
NORTH SEA,1.0,18.0,1960,0,0.0
NORWAY,1.0,48.0,2007,0,0.0
WESTERN SAMOA,1.0,25.0,1972,1,100.0
